fuzzer,domain,score,dns_record
addition,www.bjut.edu.cn,0.0,"27.221.108.52,116.211.138.205"
addition,www.sjtu.edu.cn,4.440892098500626e-16,202.120.2.119
addition,www.bjmu.edu.cn,0.0,202.112.190.162
addition,www.djtu.edu.cn,0.13333333333333286,202.199.128.144
addition,www.bjtu.edu.cn,0.0,202.112.154.197
addition,www.bjou.edu.cn,0.0,111.198.125.95
addition,www.zjtu.edu.cn,4.440892098500626e-16,61.163.28.158
addition,www.njtu.edu.cn,0.1333333333333333,202.112.154.197
addition,www.bjfu.edu.cn,0.0,202.204.112.10
addition,www.xjtu.edu.cn,4.440892098500626e-16,202.117.1.13
